developer_name,developer_id,Domain,frequency
ytzemih,25365609,Event Handling,3
ytzemih,25365609,Software Development and IT Operations-Configuration Management,3
ytzemih,25365609,Data Structure-Data Sorting,2
ytzemih,25365609,Databases-Backup and Recovery,1
yoyounik,124652765,Data Structure-Data Sorting,1
yoyounik,124652765,Event Handling,1
yoyounik,124652765,Software Development and IT Operations-Configuration Management,1
youssefgamal123,66358331,Event Handling,2
youssefgamal123,66358331,Software Development and IT Operations-Configuration Management,2
youssefgamal123,66358331,Data Structure-Data Sorting,1
youssefgamal123,66358331,Databases-Backup and Recovery,1
yeonissa,117094317,Data Structure-Data Sorting,2
yeonissa,117094317,Event Handling,2
yeonissa,117094317,Software Development and IT Operations-Configuration Management,2
yash-agrawal03,77984203,Data Structure-Data Sorting,1
yash-agrawal03,77984203,Event Handling,1
yash-agrawal03,77984203,Software Development and IT Operations-Configuration Management,1
xiaojie2008,144593540,Data Structure-Search Algorithms,1
xiaojie2008,144593540,Event Handling,1
xiaojie2008,144593540,Software Development and IT Operations-Configuration Management,1
wujastyk,762246,Data Structure-Data Sorting,3
wujastyk,762246,Event Handling,3
wujastyk,762246,Software Development and IT Operations-Configuration Management,3
wtfjjking,158286242,Software Development and IT Operations-Configuration Management,4
wtfjjking,158286242,Data Structure-Data Sorting,3
wtfjjking,158286242,Event Handling,3
wtfjjking,158286242,Application-Version Control,1
wtfjjking,158286242,Databases-Backup and Recovery,1
wanling0000,164749591,Event Handling,2
wanling0000,164749591,Software Development and IT Operations-Configuration Management,2
wanling0000,164749591,Data Structure-Data Sorting,1
wanling0000,164749591,Data Structure-Search Algorithms,1
vi-anusha,76227593,Data Structure-Data Sorting,1
vi-anusha,76227593,Event Handling,1
vi-anusha,76227593,Software Development and IT Operations-Configuration Management,1
urlyy,61675635,Data Structure-Data Sorting,1
urlyy,61675635,Event Handling,1
urlyy,61675635,Software Development and IT Operations-Configuration Management,1
ungerts,1533834,Event Handling,6
ungerts,1533834,Software Development and IT Operations-Configuration Management,6
ungerts,1533834,Data Structure-Data Sorting,5
ungerts,1533834,Data Structure-Search Algorithms,1
u7754676,177816757,Databases-Backup and Recovery,1
u7754676,177816757,Event Handling,1
u7754676,177816757,Software Development and IT Operations-Configuration Management,1
u7676493,184459285,Data Structure-Search Algorithms,1
u7676493,184459285,Event Handling,1
u7676493,184459285,Software Development and IT Operations-Configuration Management,1
u7663394,126779461,Data Structure-Data Sorting,1
u7663394,126779461,Event Handling,1
u7663394,126779461,Software Development and IT Operations-Configuration Management,1
u7465990,141602008,Event Handling,3
u7465990,141602008,Software Development and IT Operations-Configuration Management,3
u7465990,141602008,Data Structure-Data Sorting,2
u7465990,141602008,Data Structure-Search Algorithms,1
u7302654,178261069,Data Structure-Data Sorting,1
u7302654,178261069,Event Handling,1
u7302654,178261069,Software Development and IT Operations-Configuration Management,1
trickypr,23250792,Data Structure-Search Algorithms,1
trickypr,23250792,Event Handling,1
trickypr,23250792,Software Development and IT Operations-Configuration Management,1
tomeg09,24203816,Data Structure-Data Sorting,1
tomeg09,24203816,Event Handling,1
tomeg09,24203816,Software Development and IT Operations-Configuration Management,1
tom-pjobrien,177631600,Data Structure-Data Sorting,1
tom-pjobrien,177631600,Event Handling,1
tom-pjobrien,177631600,Software Development and IT Operations-Configuration Management,1
tohfas,39798027,Data Structure-Data Sorting,2
tohfas,39798027,Event Handling,2
tohfas,39798027,Software Development and IT Operations-Configuration Management,2
tina9452,181800315,Data Structure-Data Sorting,1
tina9452,181800315,Event Handling,1
tina9452,181800315,Software Development and IT Operations-Configuration Management,1
tim-bsm,125408219,Application-Version Control,1
tim-bsm,125408219,Databases-Backup and Recovery,1
tim-bsm,125408219,Software Development and IT Operations-Configuration Management,1
thecaligarmo,953160,Data Structure-Search Algorithms,1
thecaligarmo,953160,Event Handling,1
thecaligarmo,953160,Software Development and IT Operations-Configuration Management,1
thanhnguyen123-dev,52073834,Data Structure-Data Sorting,1
thanhnguyen123-dev,52073834,Event Handling,1
thanhnguyen123-dev,52073834,Software Development and IT Operations-Configuration Management,1
techaakritisha,132231250,Data Structure-Data Sorting,1
techaakritisha,132231250,Event Handling,1
techaakritisha,132231250,Software Development and IT Operations-Configuration Management,1
suftware,76719417,Data Structure-Data Sorting,1
suftware,76719417,Event Handling,1
suftware,76719417,Software Development and IT Operations-Configuration Management,1
subhramit,74734844,Software Development and IT Operations-Configuration Management,44
subhramit,74734844,Event Handling,43
subhramit,74734844,Data Structure-Data Sorting,35
subhramit,74734844,Data Structure-Search Algorithms,7
subhramit,74734844,Databases-Backup and Recovery,2
subhramit,74734844,Application-Version Control,1
sanjyot242,41758207,Data Structure-Data Sorting,1
sanjyot242,41758207,Event Handling,1
sanjyot242,41758207,Software Development and IT Operations-Configuration Management,1
ryan-carpenter,23321102,Event Handling,4
ryan-carpenter,23321102,Software Development and IT Operations-Configuration Management,4
ryan-carpenter,23321102,Data Structure-Data Sorting,3
ryan-carpenter,23321102,Databases-Backup and Recovery,1
rocket125,149022535,Data Structure-Data Sorting,1
rocket125,149022535,Event Handling,1
rocket125,149022535,Software Development and IT Operations-Configuration Management,1
rishivardhanmm,96052865,Data Structure-Data Sorting,3
rishivardhanmm,96052865,Event Handling,3
rishivardhanmm,96052865,Software Development and IT Operations-Configuration Management,3
rioxddd,177803505,Data Structure-Data Sorting,1
rioxddd,177803505,Event Handling,1
rioxddd,177803505,Software Development and IT Operations-Configuration Management,1
reox,431045,Data Structure-Data Sorting,1
reox,431045,Event Handling,1
reox,431045,Software Development and IT Operations-Configuration Management,1
raquelgraos,165958294,Data Structure-Data Sorting,1
raquelgraos,165958294,Event Handling,1
raquelgraos,165958294,Software Development and IT Operations-Configuration Management,1
priyanshu16095,147549268,Event Handling,25
priyanshu16095,147549268,Software Development and IT Operations-Configuration Management,25
priyanshu16095,147549268,Data Structure-Data Sorting,21
priyanshu16095,147549268,Data Structure-Search Algorithms,4
plvzfq-rit,125330341,Data Structure-Search Algorithms,2
plvzfq-rit,125330341,Event Handling,2
plvzfq-rit,125330341,Software Development and IT Operations-Configuration Management,2
pcdi,4654151,Data Structure-Data Sorting,1
pcdi,4654151,Event Handling,1
pcdi,4654151,Software Development and IT Operations-Configuration Management,1
paudelritij,43158841,Data Structure-Data Sorting,5
paudelritij,43158841,Event Handling,5
paudelritij,43158841,Software Development and IT Operations-Configuration Management,5
patriciagam,126352400,Data Structure-Data Sorting,1
patriciagam,126352400,Event Handling,1
patriciagam,126352400,Software Development and IT Operations-Configuration Management,1
palukku,37398281,Software Development and IT Operations-Configuration Management,4
palukku,37398281,Data Structure-Data Sorting,3
palukku,37398281,Event Handling,3
palukku,37398281,Application-Version Control,1
